window_seconds,modality,fold,class,precision,recall,f1-score,support
2.0,accel_gyro,2,upper_body,0.46335845896147404,0.5457459926017263,0.5011889933189899,8110.0
2.0,accel_gyro,2,accuracy,0.5427581887181755,0.5427581887181755,0.5427581887181755,0.5427581887181755
2.0,accel_gyro,2,macro avg,0.6032865783438576,0.5757033949946253,0.5820113967588522,27141.0
2.0,accel_gyro,2,weighted avg,0.5682411210371914,0.5427581887181755,0.548906355344634,27141.0
2.0,accel_gyro,3,locomotion,0.8935361216730038,0.6950092421441775,0.7818673320856727,2705.0
2.0,accel_gyro,3,stairs,0.5537190082644629,0.8656330749354005,0.6754032258064516,1548.0
2.0,accel_gyro,3,static,0.3149340693038945,0.2833103448275862,0.2982863781585826,3625.0
2.0,accel_gyro,3,eat_drink,0.49554829257297417,0.6015870844164728,0.5434433320973922,7309.0
2.0,accel_gyro,3,sports,0.6711956521739131,0.7501898253606681,0.7084976694155611,3951.0
2.0,accel_gyro,3,upper_body,0.43663539513436156,0.33386018237082066,0.3783932754581783,8225.0
2.0,accel_gyro,3,accuracy,0.5245769835178892,0.5245769835178892,0.5245769835178892,0.5245769835178892
2.0,accel_gyro,3,macro avg,0.5609280898537684,0.5882649590091876,0.5643152021703065,27363.0
2.0,accel_gyro,3,weighted avg,0.5219088130789973,0.5245769835178892,0.5162207997832559,27363.0
2.0,accel_gyro,4,locomotion,0.9156154849934754,0.6823338735818476,0.7819465081723626,3085.0
2.0,accel_gyro,4,stairs,0.5638440860215054,0.47860810039931545,0.5177414378278309,1753.0
2.0,accel_gyro,4,static,0.14847285067873303,0.2023121387283237,0.17126080574131464,2595.0
2.0,accel_gyro,4,eat_drink,0.4417204301075269,0.4222861842105263,0.43178473828042885,7296.0
2.0,accel_gyro,4,sports,0.5481791252831504,0.6986453475460804,0.6143331380589728,4503.0
2.0,accel_gyro,4,upper_body,0.4874862486248625,0.43890058189922,0.4619193432796925,8077.0
2.0,accel_gyro,4,accuracy,0.48485847156615036,0.48485847156615036,0.48485847156615036,0.48485847156615036
2.0,accel_gyro,4,macro avg,0.5175530376182089,0.4871810377275523,0.49649766189343375,27309.0
2.0,accel_gyro,4,weighted avg,0.5063183855457702,0.48485847156615036,0.4911162479756226,27309.0
2.0,accel_gyro,5,locomotion,0.898469387755102,0.5739895697522817,0.7004773269689738,3068.0
2.0,accel_gyro,5,stairs,0.4669509594882729,0.7368775235531628,0.5716523101018011,1486.0
2.0,accel_gyro,5,static,0.27508996401439423,0.21046191495870298,0.23847487001733103,3269.0
2.0,accel_gyro,5,eat_drink,0.5756059009483667,0.5417803124225142,0.5581811214714523,8066.0
2.0,accel_gyro,5,sports,0.6616666666666666,0.7106735287536362,0.6852950695867946,4469.0
2.0,accel_gyro,5,upper_body,0.44734573223303364,0.5219140681132347,0.4817615068311447,6959.0
2.0,accel_gyro,5,accuracy,0.5389318007101804,0.5389318007101804,0.5389318007101804,0.5389318007101804
